Disease	Type
"Growth Retardation, Developmental Delay, and Facial Dysmorphism"	"20,21,24"
Diprosopus	"20,24"
Mosaic Trisomy 16	"20,24"
Neonatal Candidiasis	"20,22"
8p Inverted Duplication/deletion Syndrome	"20,24"
16p13.11 Microdeletion Syndrome	"20,24"
8p23.1 Microdeletion Syndrome	"20,24"
Conjoined Twins	"20,24"
Neonatal Meningitis	"20,24"
6q Terminal Deletion Syndrome	"20,24"
"Torticollis, Keloids, Cryptorchidism, and Renal Dysplasia"	"20,24"
16p13.11 Microduplication Syndrome	"20,24"
Infant Gynecomastia	20
2q31.1 Microdeletion Syndrome	"20,24"
Paternal Uniparental Disomy of Chromosome 6	"20,24"
Distal Duplication 6p	"20,24"
Distal Duplication 17q	"20,24"
Maternal Uniparental Disomy	"20,24"
Mosaic Trisomy 17	"20,24"
Congenital Patella Dislocation	"20,21,24"
Thakker-Donnai Syndrome	"20,24"
Distal Monosomy 10p	"20,24"
"Ventricular Extrasystoles with Syncope, Perodactyly, and Robin Sequence"	"20,24"
Distal Monosomy 7q36	"20,24"
"Radial Hypoplasia, Triphalangeal Thumbs, Hypospadias, and Maxillary Diastema"	"20,24"
5q35 Microduplication Syndrome	"20,24"
Hemifacial Myohyperplasia	"20,24"
Congenital Esophageal Stenosis	"20,24"
Distal Duplication 18q	"20,24"
Verloove Vanhorick-Brubakk Syndrome	"20,24"
Distal Duplication 5q	"20,24"
Anophthalmia-Megalocornea-Cardiopathy-Skeletal Anomalies Syndrome	"20,24"
Cryptomicrotia-Brachydactyly Syndrome	"20,24"
Esophageal Duplication Cyst	"20,24"
"Cystic Fibrosis, Modifier of, 1"	20
Non-Distal Duplication 13q	"20,24"
Mosaic Genome-Wide Paternal Uniparental Disomy	"20,24"
10q22.3q23.3 Microduplication Syndrome	"20,24"
7q31 Microdeletion Syndrome	"20,24"
Mosaic Trisomy 3	"20,24"
Partial Deletion of the Short Arm of Chromosome 7	"20,24"
Distal 7q11.23 Microduplication Syndrome	"20,24"
Partial Duplication of the Long Arm of Chromosome 1	"20,24"
Fetal Minoxidil Syndrome	"20,24"
"Vertebral Fusion, Posterior Lumbosacral, with Blepharoptosis"	"20,24"
"Lip, Median Nodule of Upper"	"20,24"
Congenital Limb Malformation	"20,24"
Mosaic Trisomy 10	"20,24"
Congenital Knee Dislocation	"20,24"
4p16.3 Microduplication Syndrome	"20,24"
Multiple Congenital Anomalies/dysmorphic Syndrome	"20,24"
Auricular Abnormalities-Cleft Lip with or Without Cleft Palate-Ocular Abnormalities Syndrome	"20,24"
Distal Duplication 3p	"20,24"
Macrodactyly of Fingers	"20,24"
Partial Deletion of the Long Arm of Chromosome 10	"20,24"
Partial Deletion of the Short Arm of Chromosome 11	"20,24"
Partial Duplication of the Long Arm of Chromosome X	"20,24"
"Chromosome 10, Uniparental Disomy"	"20,24"
Partial Duplication of the Long Arm of Chromosome 2	"20,24"
Cranial Malformation	"20,24"
Distal Duplication 13q	"20,24"
Congenital Epstein-Barr Virus Infection	"20,22,24"
Partial Duplication of the Long Arm of Chromosome 5	"20,24"
Autosomal Anomaly	"20,24"
Partial Deletion of the Short Arm of Chromosome 10	"20,24"
Partial Deletion of Chromosome 11	"20,24"
Syndromic Anorectal Malformation	"20,24"
Distal Duplication 6q	"20,24"
Partial Deletion of the Short Arm of Chromosome 18	"20,24"
Macrostomia-Preauricular Tags-External Ophthalmoplegia Syndrome	"20,24"
Partial Duplication of the Long Arm of Chromosome 6	"20,24"
Duplication of the Esophagus	"20,24"
Partial Duplication of Chromosome 4	"20,24"
Esophageal Malformation	"20,24"
Distal 17p13.3 Microdeletion Syndrome	"20,24"
Partial Deletion of the Long Arm of Chromosome 6	"20,24"
Partial Duplication of Chromosome 17	"20,24"
Distal Duplication 22q	"20,24"
Partial Duplication of the Short Arm of Chromosome 3	"20,24"
Partial Duplication of the Short Arm of Chromosome 8	"20,24"
Partial Duplication of the Long Arm of Chromosome 4	"20,24"
Partial Duplication of the Short Arm of Chromosome 4	"20,24"
Partial Deletion of the Long Arm of Chromosome 17	"20,24"
Partial Deletion of the Long Arm of Chromosome 20	"20,24"
Distal Duplication 16q	"20,24"
Partial Deletion of the Short Arm of Chromosome 4	"20,24"
Partial Duplication of the Long Arm of Chromosome 11	"20,24"
Partial Deletion of the Long Arm of Chromosome 1	"20,24"
Partial Duplication of the Long Arm of Chromosome 13	"20,24"
Urogenital Tract Malformation	"20,24"
Partial Duplication of Chromosome 7	"20,24"
Partial Duplication of Chromosome 11	"20,24"
Partial Deletion of the Long Arm of Chromosome 4	"20,24"
Partial Duplication of the Long Arm of Chromosome 9	"20,24"
Distal Duplication 7p	"20,24"
Partial Deletion of Chromosome 18	"20,24"
Distal Duplication 9q	"20,24"
Tessier Number 5 Facial Cleft	"20,24"
12q15q21.1 Microdeletion Syndrome	"20,24"
Partial Duplication of the Long Arm of Chromosome 22	"20,24"
Partial Deletion of Chromosome 8	"20,24"
Idiopathic Isolated Micropenis	"20,24"
Partial Deletion of the Long Arm of Chromosome 12	"20,24"
Partial Deletion of the Long Arm of Chromosome 8	"20,24"
Partial Deletion of Chromosome 7	"20,24"
Partial Duplication of the Long Arm of Chromosome 18	"20,24"
Hypoglossia/aglossia	"20,24"
Syndactyly-Nystagmus Syndrome Due to 2q31.1 Microduplication	"20,24"
Partial Duplication of the Short Arm of Chromosome 6	"20,24"
Partial Deletion of the Long Arm of Chromosome 3	"20,24"
Partial Deletion of Chromosome 6	"20,24"
Tubular Duplication of the Esophagus	"20,24"
"Marfanoid Syndrome, De Silva Type"	"20,24"
Partial Autosomal Duplication/triplication	"20,24"
Partial Deletion of the Short Arm of Chromosome 16	"20,24"
Partial Duplication of Chromosome 2	"20,24"
Congenital Deformities of Fingers	"20,24"
Isochromosome Y	"20,24"
Non-Syndromic Anorectal Malformation with Perineal Fistula	"20,24"
Partial Deletion of Chromosome 4	"20,24"
Partial Deletion of the Short Arm of Chromosome 19	"20,24"
Mybpc1-Related Autosomal Recessive Non-Lethal Arthrogryposis Multiplex Congenita Syndrome	"20,24"
Isolated Congenital Radial Head Dislocation	"20,24"
Congenital Genu Flexum	"20,24"
Diaphragmatic Hernia-Short Bowel-Asplenia Syndrome	"20,24"
"Non-Syndromic Anorectal Malformation with Rectourethral Fistula, Prostatic Type"	"20,24"
Syndromic Urogenital Tract Malformation	"20,24"
Lethal Multiple Congenital Anomalies/dysmorphic Syndrome	"20,24"
Partial Duplication of Chromosome 6	"20,24"
Low Implantation of Placenta	20
Partial Duplication/triplication of the Short Arm of Chromosome 18	"20,24"
Partial Deletion of the Long Arm of Chromosome 19	"20,24"
Syndrome with Limb Malformations As a Major Feature	"20,24"
Multiple Congenital Anomalies/dysmorphic Syndrome Without Intellectual Disability	"20,24"
Isolated Congenital Syngnathia	"20,24"
Partial Duplication/triplication of the Short Arm of Chromosome 12	"20,24"
Partial Deletion of the Long Arm of Chromosome 22	"20,24"
Non-Syndromic Anorectal Malformation with H-Type Fistula	"20,24"
Neonatal Infective Mastitis	20
Syndromic Esophageal Malformation	"20,24"
Partial Deletion of Chromosome 20	"20,24"
Partial Duplication/triplication of Chromosome 9	"20,24"
"Macrodactyly of Fingers, Unilateral"	"20,24"
"Macrodactyly of Toes, Unilateral"	"20,24"
True Congenital Shoulder Dislocation	"20,24"
Isolated Persistent Urogenital Sinus	"20,24"
Syndromic Diaphragmatic or Abdominal Wall Malformation	"20,24"
"Macrodactyly of Fingers, Bilateral"	"20,24"
Autosomal Uniparental Disomy	"20,24"
Non-Syndromic Urogenital Tract Malformation of Male	"20,24"
Sex-Chromosome Structural Anomaly	"20,24"
"Congenital Elbow Dislocation, Unilateral"	"20,24"
"Congenital Elbow Dislocation, Bilateral"	"20,24"
Malformation Syndrome with Hamartosis	"20,24"
Non-Syndromic Diaphragmatic or Abdominal Wall Malformation	"20,24"
Syndrome or Malformation Associated with Head and Neck Malformations	"20,24"
X Chromosome Number Anomaly with Female Phenotype	"20,24"
Chromosomal Disease with Overgrowth	"20,24"
"Chromosome 1q21.1 Deletion Syndrome, 1.35-Mb"	"20,21,24"
Pierre Robin Syndrome	"20,24"
Chromosome 15q11-Q13 Duplication Syndrome	"20,24"
Chromosome 17q12 Duplication Syndrome	"20,21,24"
Mulchandani-Bhoj-Conlin Syndrome	"20,21,24"
Chromosome 10q26 Deletion Syndrome	"20,21,24"
Pentasomy X	"20,24"
Chromosomal Disease	"20,21,24"
Cleft Lip and Alveolus	"20,24"
Schilbach-Rott Syndrome	"20,24"
Tetrasomy 9p	"20,24"
"Ciliary Dyskinesia, Primary, 36, X-Linked"	"20,21"
Chromosome 3q13.31 Deletion Syndrome	"20,21,24"
Anorectal Malformation	"20,24"
Nablus Mask-Like Facial Syndrome	"20,24"
Hypothalamic Hamartomas	"20,24"
Vitamin K Antagonist Embryofetopathy	"20,24"
Orofacial Clefting Syndrome	"20,24"
Fetal Anticonvulsant Syndrome	"20,24"
Congenital Amyoplasia	"20,24"
Acalvaria	"20,24"
Mosaic Trisomy 15	"20,24"
14q11.2 Microduplication Syndrome	"20,24"
Chromosome 15q14 Deletion Syndrome	"20,24"
Polysyndactyly with Cardiac Malformation	"20,24"
Congenital Herpes Simplex Virus Infection	"20,22,24"
Oblique Facial Cleft	"20,24"
Chromosome 10q22.3-Q23.2 Deletion Syndrome	"20,24"
Mosaic Trisomy 7	"20,24"
8p11.2 Deletion Syndrome	"20,24"
Fetal Trimethadione Syndrome	"20,24"
Maternal Uniparental Disomy of Chromosome 4	"20,24"
Deletion 5q35	"20,24"
Facial Infiltrating Lipomatosis	"20,24"
Tetrasomy 21	"20,24"
Mosaic Trisomy 1	"20,24"
Sex-Chromosome Anomaly	"20,24"
Acitretin/etretinate Embryopathy	"20,24"
Complex Chromosomal Rearrangement	"20,24"
Distal 22q11.2 Microduplication Syndrome	"20,24"
6p22 Microdeletion Syndrome	"20,24"
16p11.2p12.2 Microduplication Syndrome	"20,24"
Xp22.3 Microdeletion Syndrome	"20,24"
Paternal Uniparental Disomy	"20,24"
Cleft Lip/palate-Intestinal Malrotation-Cardiopathy Syndrome	"20,24"
Non-Syndromic Posterior Hypospadias	"20,24"
20q13.33 Microdeletion Syndrome	"20,24"
Short Stature-Craniofacial Anomalies-Genital Hypoplasia Syndrome	"20,24"
Paternal 20q13.2q13.3 Microdeletion Syndrome	"20,24"
Cleft Palate-Large Ears-Small Head Syndrome	"20,24"
Hunter-Mcalpine Syndrome	"20,24"
Submucosal Cleft Palate	"20,24"
Non-Syndromic Anorectal Malformation	"20,24"
Isolated Splenogonadal Fusion	"20,24"
Cocaine Embryofetopathy	"20,24"
Disproportionate Short Stature with Ptosis and Valvular Heart Lesions	"20,24"
Hydrocephaly-Tall Stature-Joint Laxity Syndrome	"20,24"
"Anonychia, Total, with Microcephaly"	"20,24"
Mosaic Trisomy 5	"20,24"
"Finger Locking, Recurrent, with Intrauterine Growth Retardation and Proportionate Short Stature"	"20,24"
Mosaic Trisomy 4	"20,24"
Partial Duplication/triplication of the Short Arm of Chromosome 9	"20,24"
Congenital Microgastria	"20,24"
Partial Deletion of the Short Arm of Chromosome 3	"20,24"
Lateral Facial Cleft	"20,24"
Pericardial and Diaphragmatic Defect	"20,24"
Partial Deletion of the Long Arm of Chromosome 11	"20,24"
Partial Deletion of the Long Arm of Chromosome 7	"20,24"
Partial Deletion of the Short Arm of Chromosome 6	"20,24"
Partial Deletion of the Long Arm of Chromosome 16	"20,24"
Lower Limb Malformation-Hypospadias Syndrome	"20,24"
Partial Deletion of the Long Arm of Chromosome 5	"20,24"
Congenital Agenesis of the Scrotum	"20,24"
Congenital Joint Dislocations	"20,24"
Distal Duplication 2q	"20,24"
Partial Deletion of the Short Arm of Chromosome 5	"20,24"
Partial Duplication of the Short Arm of Chromosome 2	"20,24"
Congenital Genu Recurvatum	"20,24"
Distal Duplication 19q	"20,24"
Partial Duplication of the Short Arm of Chromosome X	"20,24"
Partial Deletion of Chromosome 2	"20,24"
2p21 Microdeletion Syndrome Without Cystinuria	"20,24"
Partial Deletion of the Long Arm of Chromosome 13	"20,24"
Dysmorphism-Pectus Carinatum-Joint Laxity Syndrome	"20,24"
Partial Duplication of Chromosome X	"20,24"
Partial Duplication of Chromosome 1	"20,24"
Partial Deletion of Chromosome 16	"20,24"
Partial Deletion of Chromosome 10	"20,24"
Distal Duplication 1p36	"20,24"
Partial Deletion of Chromosome 3	"20,24"
Partial Duplication of the Long Arm of Chromosome 8	"20,24"
Partial Deletion of the Long Arm of Chromosome 9	"20,24"
Partial Deletion of the Short Arm of Chromosome 1	"20,24"
Partial Duplication of the Short Arm of Chromosome 7	"20,24"
Partial Duplication of Chromosome 3	"20,24"
Partial Deletion of the Short Arm of Chromosome 8	"20,24"
Upper Limb Hypertrophy	"20,24"
Partial Deletion of the Short Arm of Chromosome 9	"20,24"
Partial Deletion of the Long Arm of Chromosome 15	"20,24"
Paramedian Facial Cleft	"20,24"
Partial Duplication of Chromosome 16	"20,24"
Partial Duplication of the Long Arm of Chromosome 15	"20,24"
Partial Duplication of the Long Arm of Chromosome 7	"20,24"
Partial Duplication of the Long Arm of Chromosome 16	"20,24"
Partial Deletion of the Long Arm of Chromosome 18	"20,24"
Partial Deletion of Chromosome 5	"20,24"
Partial Deletion of the Long Arm of Chromosome 14	"20,24"
Partial Duplication of the Short Arm of Chromosome 11	"20,24"
Partial Duplication of the Long Arm of Chromosome 14	"20,24"
Partial Deletion of the Long Arm of Chromosome 21	"20,24"
Partial Duplication of the Short Arm of Chromosome 17	"20,24"
Distal Duplication 20q	"20,24"
Non-Distal Duplication 9q	"20,24"
Syngnathia-Cleft Palate Syndrome	"20,24"
Atypical Norrie Disease Due to Xp11.3 Microdeletion	"20,24"
Partial Deletion of the Long Arm of Chromosome 2	"20,24"
Partial Duplication of Chromosome 19	"20,24"
Partial Duplication of the Long Arm of Chromosome 3	"20,24"
Isolated Congenital Aglossia	"20,24"
Partial Duplication of the Short Arm of Chromosome 16	"20,24"
Partial Duplication of Chromosome 20	"20,24"
Partial Deletion of Chromosome 1	"20,24"
Partial Duplication of Chromosome 8	"20,24"
Partial Deletion of the Short Arm of Chromosome 12	"20,24"
Partial Deletion of the Short Arm of Chromosome 20	"20,24"
Partial Deletion of the Short Arm of Chromosome 17	"20,24"
Partial Duplication of the Long Arm of Chromosome 19	"20,24"
Partial Duplication of the Long Arm of Chromosome 20	"20,24"
Partial Duplication of the Long Arm of Chromosome 17	"20,24"
Median Cleft Lip/mandible	"20,24"
Chromosome Y Structural Anomaly	"20,24"
Malformation Syndrome with Short Stature	"20,24"
Contractures-Webbed Neck-Micrognathia-Hypoplastic Nipples Syndrome	"20,24"
Partial Deletion of Chromosome 9	"20,24"
Non-Syndromic Anorectal Malformation with Rectourethral Fistula	"20,24"
Partial Deletion of Chromosome 17	"20,24"
Partial Deletion of the Short Arm of Chromosome 2	"20,24"
Partial Deletion of Chromosome 12	"20,24"
Epibulbar Lipodermoid-Preauricular Appendage-Polythelia Syndrome	"20,24"
Non-Syndromic Anorectal Malformation Without Fistula	"20,24"
Partial Duplication of the Short Arm of Chromosome 1	"20,24"
Caudal Regression-Sirenomelia Spectrum	"20,24"
Non-Syndromic Limb Malformation	"20,24"
"Non-Syndromic Anorectal Malformation with Rectourethral Fistula, Bulbar Type"	"20,24"
Partial Deletion of Chromosome 19	"20,24"
Non-Syndromic Urogenital Tract Malformation	"20,24"
Partial Duplication of the Short Arm of Chromosome 19	"20,24"
Y Chromosome Number Anomaly	"20,24"
Median Cleft of the Upper Lip and Maxilla	"20,24"
Partial Duplication/triplication of the Short Arm of Chromosome 5	"20,24"
Spigelian Hernia-Cryptorchidism Syndrome	"20,24"
Non-Syndromic Anorectal Malformation with Vestibular Fistula	"20,24"
Non-Syndromic Anorectal Malformation with Rectovaginal Fistula	"20,24"
Sterol Biosynthesis Disorder	"20,23,24"
Familial Isolated Clinodactyly of Fingers	"20,21,24"
Partial Duplication/triplication of Chromosome 18	"20,24"
"Congenital Vertical Talus, Bilateral"	"20,24"
Isolated Congenital Hypoglossia	"20,24"
Non-Syndromic Anorectal Malformation with Anal Stenosis	"20,24"
Non-Syndromic Anorectal Malformation with Rectal Atresia	"20,24"
Infectious Embryofetopathy	"20,22,24"
Partial Duplication/triplication of Chromosome 5	"20,24"
Non-Syndromic Anorectal Malformation with Rectal Stenosis	"20,24"
Homozygous 2p21 Microdeletion Syndrome	"20,24"
Toxic or Drug-Related Embryofetopathy	"20,24"
Diaphragmatic or Abdominal Wall Malformation	"20,24"
Non Syndromic Limb Overgrowth	"20,24"
"Congenital Vertical Talus, Unilateral"	"20,24"
Sex-Chromosome Number Anomaly	"20,24"
"Macrodactyly of Toes, Bilateral"	"20,24"
Oromandibular-Limb Anomalies Syndrome	"20,24"
Non-Syndromic Cloacal Malformation	"20,24"
Syndromic Visceral Malformation	"20,24"
Congenital Deformities of Limbs	"20,24"
Teratogenic Pierre Robin Syndrome	"20,24"
Non-Syndromic Esophageal Malformation	"20,24"
Pierre Robin Syndrome Associated with Branchial Archs Anomalies	"20,24"
Isolated Female Hypospadias	"20,24"
Non-Syndromic Visceral Malformation	"20,24"
Pierre Robin Syndrome Associated with Collagen Disease	"20,24"
Pierre Robin Syndrome Associated with a Chromosomal Anomaly	"20,24"
Non-Syndromic Urogenital Tract Malformation of Female	"20,24"
Paralytic Facial Malformation	"20,24"
X Chromosome Number Anomaly with Male Phenotype	"20,24"
Non-Syndromic Urogenital Tract Malformation of Male and Female	"20,24"
Polysomy of X Chromosome	"20,24"
Williams-Beuren Region Duplication Syndrome	"20,21,24"
Chromosome 1q21.1 Duplication Syndrome	"20,21,24"
Chromosome 4q21 Deletion Syndrome	"20,21,24"
Diabetic Embryopathy	"20,24"
Mycophenolate Mofetil Embryopathy	"20,24"
Albinism-Microcephaly-Digital Anomalies Syndrome	"20,24"
Indomethacin Embryofetopathy	"20,24"
Fetal Carbamazepine Syndrome	"20,24"
Rare Otorhinolaryngological Malformation	"20,24"
Familial Omphalocele Syndrome with Facial Dysmorphism	"20,21,24"
Overgrowth/obesity Syndrome	"20,23,24"
Rare Head and Neck Malformation	"20,24"
Maternal Disease-Related Embryofetopathy	"20,24"
Rare Disorder with Hirschsprung Disease As a Major Feature	"20,24"
Orofacial Cleft	"20,21,24"
Phosphoribosylaminoimidazole Carboxylase Deficiency	"20,21,23,24"
Achalasia-Microcephaly Syndrome	"20,21,24"
Cardiac Conduction Defect	"21,24"
"Synovial Chondromatosis, Familial, with Dwarfism"	"21,24"
"Genu Valgum, St. Helena Familial"	"21,24"
"Cirrhosis, Familial"	21
Familial Apolipoprotein Gene Cluster Deletion Syndrome	21
"Vestibulocochlear Dysfunction, Progressive"	"21,24"
Genetic Atypical Hemolytic-Uremic Syndrome	21
"Fibrosclerosis, Multifocal"	"21,24"
Adcy5-Related Dyskinesia	21
"Comedones, Familial Dyskeratotic"	21
Nguyen Syndrome	"21,24"
"Corneal Hypesthesia, Familial"	21
"Umbilicus, Familial Flat"	"21,24"
"Hyperreninemic Hypoaldosteronism, Familial, 2"	21
Right Atrium Familial Dilatation	"21,24"
Glucocorticoid Deficiency 3	21
Diffuse Mesangial Sclerosis	"21,24"
Nondisjunction	21
Corticosterone Methyloxidase Deficiency	21
Spinal Arachnoiditis	21
Berardinelli-Seip Congenital Lipodystrophy	21
Lipomyelomeningocele	"21,24"
Cryofibrinogenemia	"21,24"
"Alkaline Phosphatase, Plasma Level of, Quantitative Trait Locus 1"	21
"Macrocephaly, Benign Familial"	"21,24"
"Idiopathic Ventricular Fibrillation, Non Brugada Type"	"21,24"
Rhizomelic Syndrome	21
"Factor Vii and Factor Viii, Combined Deficiency of"	21
"Ophthalmoplegia, Familial Static"	21
Tetralogy of Fallot and Glaucoma	"21,24"
"Chylomicronemia, Familial, Due to Circulating Inhibitor of Lipoprotein Lipase"	"21,23"
"Factors Viii, Ix and Xi, Combined Deficiency of"	21
"Lumbar Stenosis, Familial"	21
"Factor Viii and Factor Ix, Combined Deficiency of"	21
"Stuttering, Familial Persistent, 4"	21
"Convulsive Disorder, Familial, with Prenatal or Early Onset"	21
"Cardiac Lipidosis, Familial"	21
"Choreoathetosis, Familial Inverted"	21
"Alzheimer Disease, Familial Early-Onset, with Coexisting Amyloid and Prion Pathology"	21
"Edema, Familial Idiopathic, Prepubertal"	21
"Ossicular Malformations, Familial"	"21,24"
"Alopecia, Familial Focal"	21
"Factor Ix and Factor Xi, Combined Deficiency of"	21
"Ophthalmoplegia, Familial Total, with Iris Transillumination"	21
"Histiocytosis, Familial Lipochrome"	21
Aip Familial Isolated Pituitary Adenomas	21
"Arteritis, Familial Granulomatous, with Juvenile Polyarthritis"	21
"Macrocytosis, Familial"	21
"Pachydermodactyly, Familial"	21
"Fever, Familial Lifelong Persistent"	21
"Nasal Hyperpigmentation, Familial Transverse"	21
"Striae Distensae, Familial"	21
"Nasal Groove, Familial Transverse"	21
"Azotemia, Familial"	21
"Bundle Branch Block, Familial Isolated Complete Right"	21
"Cryptotia, Familial"	21
"Setting-Sun Phenomenon, Familial Benign"	21
"Urticaria, Familial Localized Heat"	21
"Cramps, Familial Adolescent"	21
"Broad Terminal Phalanges, Familial"	21
"Leg Ulcers, Familial, of Juvenile Onset"	21
"Priapism, Familial Idiopathic"	21
"Insulin Receptors, Familial Increase in"	21
"Brachial Palsy, Familial Congenital"	21
Familial Capillaro-Venous Leptomeningeal Angiomatosis	"21,24"
Fara Chlupackova Syndrome	"21,24"
"Lissencephaly, Familial, with Cleft Palate and Cerebellar Hypoplasia"	21
Multiple Fibrofolliculoma Familial	"21,24"
Familial Partial Paralysis	"21,24"
"Hypergonadotropic Ovarian Failure, Familial or Sporadic"	"21,24"
Propionic Acidemia	"21,23,24"
"Autoimmune Polyendocrine Syndrome, Type I, with or Without Reversible Metaphyseal Dysplasia"	21
"Mitochondrial Complex I Deficiency, Nuclear Type 1"	"21,23"
Dihydropyrimidine Dehydrogenase Deficiency	"21,23,24"
"Neural Tube Defects, Folate-Sensitive"	21
"Anemia, Nonspherocytic Hemolytic, Due to G6pd Deficiency"	"21,23"
"Vasculitis, Autoinflammation, Immunodeficiency, and Hematologic Defects Syndrome"	21
Juvenile Polyposis/hereditary Hemorrhagic Telangiectasia Syndrome	21
"Optic Atrophy with or Without Deafness, Ophthalmoplegia, Myopathy, Ataxia, and Neuropathy"	21
Homocystinuria Due to Cystathionine Beta-Synthase Deficiency	21
Bacteremia 2	21
Glycerol Kinase Deficiency	"21,23,24"
"Mitochondrial Complex Iii Deficiency, Nuclear Type 2"	"21,23"
"Alacrima, Achalasia, and Impaired Intellectual Development Syndrome"	"21,23,24"
Macrothrombocytopenia and Granulocyte Inclusions with or Without Nephritis or Sensorineural Hearing Loss	21
"Keratitis-Ichthyosis-Deafness Syndrome, Autosomal Dominant"	"21,24"
"Microcephaly, Epilepsy, and Diabetes Syndrome 1"	21
Polysubstance Abuse	21
Transaldolase Deficiency	"21,23,24"
"Creatine Phosphokinase, Elevated Serum"	21
Rapp-Hodgkin Syndrome	21
Retinitis Pigmentosa and Erythrocytic Microcytosis	21
Inclusion Body Myopathy with Early-Onset Paget Disease with or Without Frontotemporal Dementia 1	21
"Multiple Joint Dislocations, Short Stature, and Craniofacial Dysmorphism with or Without Congenital Heart Defects"	21
"Hypertension, Diastolic"	21
Bryant-Li-Bhoj Neurodevelopmental Syndrome 1	21
"Resting Heart Rate, Variation in"	21
"Heterotaxy, Visceral, 1, X-Linked"	21
Meester-Loeys Syndrome	21
Baraitser-Winter Syndrome	21
Trigonocephaly 1	21
Cryohydrocytosis	21
Vertebral Anomalies and Variable Endocrine and T-Cell Dysfunction	21
Rahman Syndrome	"21,24"
"Pituitary Hormone Deficiency, Combined or Isolated, 1"	"21,24"
Combined Oxidative Phosphorylation Deficiency	"21,23"
Combined Oxidative Phosphorylation Deficiency 37	"21,23"
Cerebral Creatine Deficiency Syndrome	"21,23"
Ngly1-Deficiency	"21,23"
Viss Syndrome	21
"Hypoprebetalipoproteinemia, Acanthocytosis, Retinitis Pigmentosa, and Pallidal Degeneration"	21
Sifrim-Hitz-Weiss Syndrome	21
"Mitochondrial Complex Iii Deficiency, Nuclear Type 4"	"21,23"
Neuroocular Syndrome	21
Colchicine Resistance	21
Neurooculocardiogenitourinary Syndrome	21
"Gaucher Disease, Atypical, Due to Saposin C Deficiency"	"21,23,24"
Autoimmune Disease 1	21
"Bilirubin, Serum Level of, Quantitative Trait Locus 1"	21
"Rigidity and Multifocal Seizure Syndrome, Lethal Neonatal"	21
"Malaria, Mild"	21
"Hydrops, Lactic Acidosis, and Sideroblastic Anemia"	"21,23,24"
"Autoimmune Disease, Multisystem, with Facial Dysmorphism"	21
Insulinomatosis and Diabetes Mellitus	21
Al-Raqad Syndrome	21
"Dystonia 28, Childhood-Onset"	21
Monoclonal Paraproteinemia	"21,23"
Cognitive Impairment with or Without Cerebellar Ataxia	21
Combined Immunodeficiency and Megaloblastic Anemia with or Without Hyperhomocysteinemia	21
Turnpenny-Fry Syndrome	21
Liberfarb Syndrome	21
Myoectodermal Gonadal Dysgenesis Syndrome	21
"Hypotonia, Hypoventilation, Impaired Intellectual Development, Dysautonomia, Epilepsy, and Eye Abnormalities"	21
Jansen-De Vries Syndrome	21
Combined Oxidative Phosphorylation Deficiency 16	"21,23,24"
Sandestig-Stefanova Syndrome	21
"Corneal Dystrophy, Epithelial Basement Membrane"	21
"Neurodevelopmental Disorder with Dysmorphic Features, Spasticity, and Brain Abnormalities"	21
Neurodevelopmental Disorder with Dysmorphic Facies and Distal Skeletal Anomalies	21
"Leukoencephalopathy, Progressive, Infantile-Onset, with or Without Deafness"	21
Degcags Syndrome	21
"Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction"	21
"Neurodevelopmental Disorder with Hypotonia, Impaired Language, and Dysmorphic Features"	"21,24"
Inclusion Body Myopathy and Brain White Matter Abnormalities	21
Atrial Septal Defect 7 with or Without Atrioventricular Conduction Defects	21
Developmental Delay with Variable Intellectual Impairment and Behavioral Abnormalities	21
Neurodevelopmental Disorder with Hypotonia and Variable Intellectual and Behavioral Abnormalities	21
"Autoinflammation, Immune Dysregulation, and Eosinophilia"	21
"Hemophagocytic Lymphohistiocytosis, Familial, 5, with or Without Microvillus Inclusion Disease"	21
"Mitochondrial Complex I Deficiency, Nuclear Type 33"	"21,23"
Hypermethioninemia with S-Adenosylhomocysteine Hydrolase Deficiency	"21,23"
Neurodevelopmental-Craniofacial Syndrome with Variable Renal and Cardiac Abnormalities	21
Deeah Syndrome	21
"Spondyloepimetaphyseal Dysplasia, X-Linked, with Hypomyelinating Leukodystrophy"	21
"Biliary, Renal, Neurologic, and Skeletal Syndrome"	21
Zaki Syndrome	21
Mitochondrial Myopathy with Lactic Acidosis	21
Tenorio Syndrome	21
Carboxypeptidase N Deficiency	"21,23"
Heyn-Sproul-Jackson Syndrome	21
"Neurodevelopmental Disorder with Spasticity, Hypomyelinating Leukodystrophy, and Brain Abnormalities"	21
"Sudden Cardiac Failure, Infantile"	21
Chromosomal Duplication Syndrome	21
Siddiqi Syndrome	"21,23"
Combined Oxidative Phosphorylation Deficiency 54	"21,23"
Triphalangeal Thumb with Polysyndactyly	21
Complement Factor B Deficiency	21
Gene Duplication Disease	21
"Mitochondrial Complex I Deficiency, Nuclear Type 21"	"21,23"
"Delayed Puberty, Self-Limited"	21
"Mitochondrial Complex Iv Deficiency, Nuclear Type 6"	"21,23"
"Short Stature, Impaired Intellectual Development, Microcephaly, Hypotonia, and Ocular Anomalies"	21
Intellectual Disability and Myopathy Syndrome	21
Robinow-Sorauf Syndrome	21
Khan-Khan-Katsanis Syndrome	21
